,seq,len,freq,totalDelta,meanDelta
0,d3l_s1q_d2l,3.0,4.0,1.6658776865624287,0.8329388432812144
1,s1q_s1l_s1e,3.0,2.0,1.336074989083004,0.668037494541502
2,s1q_s1l_d2q_s1q_s1l,5.0,2.0,1.9852528576522694,0.49631321441306736
3,d2l_d2q_d3l_s1q,4.0,3.0,2.019471737252299,0.6731572457507663
4,d3l_u5q_s1q_d2l_s1e,5.0,1.0,2.578070626187286,0.6445176565468215
5,u2l_d3q,2.0,4.0,0.7171673759769589,0.7171673759769589
6,d5l_s1q,2.0,3.0,0.657459872071848,0.657459872071848
7,d2l_s1e_s1e,3.0,1.0,1.4776415035489658,0.7388207517744829
8,d3l_s1q_u5l_s1q_d2l,5.0,3.0,2.6750701582898295,0.6687675395724574
9,u2q_d5l_s1q,3.0,3.0,1.3806011282486965,0.6903005641243483
10,s1l_s1q_s1l_d2q,4.0,2.0,1.7072250029449716,0.5690750009816572
11,d2l_s1e_s1e_s1q,4.0,1.0,1.9566823805162035,0.6522274601720678
12,d2e_u2l,2.0,1.0,0.7755619061664143,0.7755619061664143
13,s1q_d2l_u2q,3.0,2.0,1.3444530645969084,0.6722265322984542
14,d2q_s1q_s1l,3.0,2.0,1.3588526863195307,0.6794263431597654
15,d5l_s1q_s1l_s1q,4.0,3.0,2.006900008650938,0.6689666695503127
16,u2l_d3q_d2e_u2l,4.0,1.0,2.157685684299814,0.7192285614332713
17,s1q_u5l,2.0,3.0,0.6506213628800264,0.6506213628800264
18,s1l_s1e_s1e_s1q,4.0,2.0,1.5296073475024707,0.509869115834157
19,s1q_d2l_u2l_u2l,4.0,1.0,1.9092075948051976,0.6364025316017325
20,s1l_s1e,2.0,2.0,0.5842135210752037,0.5842135210752037
21,s1q_s1l_s1e_s1e,4.0,2.0,1.7067565142173744,0.5689188380724581
22,u2l_u2l_d3q,3.0,1.0,1.3057489403685767,0.6528744701842883
23,d2l_d2q_d3l_u5q,4.0,1.0,2.3447215495866565,0.7815738498622188
24,s1l_s1q_s1l_s1e_s1e,5.0,2.0,1.9670990703474363,0.49177476758685906
25,d2l_u2q_d3l_s1q,4.0,3.0,2.114322851526574,0.7047742838421914
26,d2l_u2q_u2l_d3q,4.0,2.0,2.146602949676426,0.7155343165588087
27,d3l_u5q_s1q,3.0,1.0,1.406748127912396,0.703374063956198
28,s1q_d2l_u2q_u2l,4.0,2.0,1.8814042930928476,0.6271347643642825
29,s1q_d2l_d2q,3.0,4.0,1.3566366087170088,0.6783183043585044
30,s1q_d2l,2.0,8.0,0.6929420168842217,0.6929420168842217
